city_town,ward,precinct,Biden/ Harris,Trump/ Pence,Jorgensen/ Cohen,Hawkins/ Walker,All Others,No Preference,Blanks,Total Votes Cast
Cambridge,2,1,1504,102,7,5,7,0,15,1640
Cambridge,2,2,295,11,5,5,6,0,1,323
Cambridge,2,3,808,76,14,7,7,0,5,917
Cambridge,3,1,1553,191,14,8,15,0,10,1791
Cambridge,3,2,938,62,1,6,5,0,2,1014
Cambridge,3,2A,712,56,10,4,3,0,3,788
Cambridge,3,3,1463,83,5,17,8,0,2,1578
Cambridge,4,1,1873,75,15,16,6,0,4,1989
Cambridge,4,2,1887,99,13,15,7,0,6,2027
Cambridge,4,3,629,37,4,3,2,0,2,677
Cambridge,5,1,1670,88,12,16,9,0,10,1805
Cambridge,5,2,1757,114,12,15,9,0,7,1914
Cambridge,5,3,1309,60,8,14,4,0,9,1404
Cambridge,6,1,1846,74,17,17,7,0,10,1971
Cambridge,6,2,1674,70,17,14,8,0,11,1794
Cambridge,6,3,1805,136,8,10,9,0,5,1973
Cambridge,7,1,1730,70,11,18,8,0,8,1845
Cambridge,7,2,828,58,10,15,10,0,5,926
Cambridge,7,3,505,33,2,5,7,0,1,553
Cambridge,8,1,1213,55,4,10,10,0,7,1299
Cambridge,8,2,1213,53,9,10,1,0,3,1289
Cambridge,8,3,277,14,2,0,1,0,1,295
Cambridge,9,1,2111,105,9,11,10,0,6,2252
Cambridge,9,2,2211,208,17,17,8,0,14,2475
Cambridge,9,3,1697,197,17,12,12,0,12,1947
Cambridge,10,1,2090,108,11,13,12,0,9,2243
Cambridge,10,2,1998,79,11,15,13,0,9,2125
Cambridge,10,3,1732,101,14,11,5,0,8,1871
Cambridge,11,1,2130,164,25,11,5,0,10,2345
Cambridge,11,2,2125,170,18,23,9,0,6,2351
Cambridge,11,3,1705,152,12,12,11,0,7,1899
Canton,-,1,1421,742,36,10,10,0,12,2231
Canton,-,2,1617,825,18,8,9,0,10,2487
Canton,-,3,1527,781,31,8,2,0,15,2364
Canton,-,4,1653,1040,33,10,13,0,20,2769
Canton,-,5,1546,825,38,6,12,0,18,2445
Canton,-,6,1458,752,31,14,9,0,11,2275
Carlisle,-,1,2772,767,58,17,24,0,32,3670
Carver,-,1,1017,1161,33,19,17,0,11,2258
Carver,-,2,1025,1120,27,10,12,0,8,2202
Carver,-,3,1235,1223,36,9,17,0,21,2541
Charlemont,-,1,492,235,12,4,0,0,6,749
Charlton,-,1,952,907,45,11,6,0,17,1938
Charlton,-,2,887,1145,46,13,12,0,7,2110
Charlton,-,3,975,1122,28,13,8,0,12,2158
Charlton,-,4,945,953,39,8,7,0,11,1963
Chatham,-,1,3107,1834,70,23,41,0,47,5122
Chelmsford,-,1,1615,811,37,9,18,0,13,2503
Chelmsford,-,2,1463,770,37,11,15,0,9,2305
Chelmsford,-,3,1403,949,36,14,17,0,14,2433
Chelmsford,-,4,1405,945,46,8,10,0,16,2430
Chelmsford,-,5,1563,866,56,11,11,0,16,2523
Chelmsford,-,6,1576,882,47,16,10,0,19,2550
Chelmsford,-,7,1660,861,59,9,16,0,15,2620
Chelmsford,-,8,1552,837,43,11,10,0,10,2463
Chelmsford,-,9,1664,902,37,17,14,0,25,2659
Chelsea,1,1,423,150,3,5,0,0,9,590
Chelsea,1,2,284,86,3,0,0,0,5,378
Chelsea,1,3,388,81,5,0,0,0,4,478
Chelsea,1,4,386,58,4,4,0,0,4,456
Chelsea,2,1,1052,292,19,4,0,0,23,1390
Chelsea,2,2,665,118,10,4,0,0,11,808
Chelsea,2,3,285,57,1,5,0,0,8,356
Chelsea,2,4,429,90,3,2,0,0,9,533
Chelsea,3,1,498,88,6,3,0,0,8,603
Chelsea,3,2,636,131,8,2,0,0,6,783
Chelsea,3,3,454,147,6,2,0,0,7,616
Chelsea,3,4,510,124,0,4,0,0,4,642
Chelsea,4,1,564,160,5,9,0,0,5,743
Chelsea,4,2,566,254,13,9,0,0,8,850
Chelsea,4,3,564,207,6,1,0,0,7,785
Chelsea,4,4,451,172,4,4,0,0,5,636
Cheshire,-,1,1124,775,36,0,11,0,20,1966
Chester,-,1,313,415,14,2,0,0,5,749
Chesterfield,-,1,510,287,14,9,2,0,11,833
Chicopee,1,A,818,654,20,17,9,0,5,1523
Chicopee,1,B,1020,775,25,13,4,0,12,1849
Chicopee,2,A,646,339,10,5,0,0,2,1002
Chicopee,2,B,910,757,24,8,7,0,5,1711
Chicopee,3,A,755,610,15,7,5,0,9,1401
Chicopee,3,B,650,465,22,7,3,0,5,1152
Chicopee,4,A,788,499,18,8,3,0,10,1326
Chicopee,4,B,797,447,23,8,3,0,3,1281
Chicopee,5,A,886,554,24,9,4,0,6,1483
Chicopee,5,B,767,539,21,7,6,0,7,1347
Chicopee,6,AN,243,140,6,1,3,0,3,396
Chicopee,6,AS,485,389,7,5,6,0,5,897
Chicopee,6,BE,690,803,22,13,7,0,7,1542
Chicopee,6,BW,175,161,5,3,1,0,1,346
Chicopee,7,A,649,402,16,8,2,0,9,1086
Chicopee,7,B,802,439,21,12,2,0,6,1282
Chicopee,8,A,855,628,42,12,6,0,8,1551
Chicopee,8,B,738,602,20,8,6,0,6,1380
Chicopee,9,A,846,631,28,12,3,0,9,1529
Chicopee,9,B,982,802,28,11,6,0,13,1842
Chilmark,-,1,796,111,5,3,6,0,3,924
Clarksburg,-,1,583,390,13,2,2,0,12,1002
Clinton,-,1,1287,717,40,13,13,0,7,2077
Clinton,-,2,1145,666,44,20,5,0,8,1888
Clinton,-,3,1197,757,40,14,10,0,11,2029
Clinton,-,4,1059,746,34,7,12,0,8,1866
Cohasset,-,1,1849,786,41,5,32,0,18,2731
Cohasset,-,2,2000,879,55,6,16,0,40,2996
Colrain,-,1,667,306,20,10,4,0,5,1012
Concord,-,1,1930,354,34,10,18,0,19,2365
Concord,-,2,2261,444,33,11,23,0,13,2785
Concord,-,3,2058,435,31,13,19,0,19,2575
Concord,-,4,2338,476,41,14,23,0,17,2909
Concord,-,5,1437,268,21,4,15,0,12,1757
Conway,-,1,989,278,24,11,1,0,5,1308
Cummington,-,1,413,162,7,4,5,0,5,596
Dalton,-,1,1305,560,33,13,5,0,5,1921
Dalton,-,2,1377,479,30,14,5,0,6,1911
Danvers,-,1,1339,759,26,13,0,0,15,2152
Danvers,-,2,1256,796,28,11,12,0,12,2115
Danvers,-,3,1060,736,18,12,4,0,18,1848
Danvers,-,4,1328,766,27,9,5,0,30,2165
Danvers,-,5,1266,948,21,13,10,0,17,2275
Danvers,-,6,1169,964,25,11,7,0,21,2197
Danvers,-,7,1277,860,38,11,6,0,23,2215
Danvers,-,8,1138,896,28,11,3,0,19,2095
Dartmouth,-,1,1056,1314,41,4,7,0,11,2433
Dartmouth,-,2,790,668,10,7,7,0,7,1489
Dartmouth,-,3,44,3,0,0,0,0,0,47
Dartmouth,-,4,1191,938,21,14,5,0,8,2177
Dartmouth,-,5,1292,1021,18,11,11,0,14,2367
Dartmouth,-,6,953,844,15,8,3,0,11,1834
Dartmouth,-,7,1197,1020,22,8,5,0,15,2267
Dartmouth,-,8,1635,937,25,5,13,0,17,2632
Dartmouth,-,9,1634,1033,29,13,12,0,12,2733
Dedham,-,1,1762,489,14,5,27,0,23,2320
Dedham,-,2,1522,698,21,12,9,0,22,2284
Dedham,-,3,1423,608,28,17,8,0,8,2092
Dedham,-,4,1502,639,30,5,8,0,17,2201
Dedham,-,5,1525,795,33,11,10,0,11,2385
Dedham,-,6,1652,719,38,5,11,0,18,2443
Dedham,-,7,1374,823,27,5,12,0,15,2256
Deerfield,-,1,2425,839,55,21,10,0,20,3370
Dennis,-,1,1280,868,20,2,8,0,13,2191
Dennis,-,2,1316,862,21,4,12,0,16,2231
Dennis,-,3,1109,674,25,8,5,0,6,1827
Dennis,-,4,1266,792,23,14,11,0,6,2112
Dennis,-,5,1210,742,30,8,11,0,12,2013
Dighton,-,1,1000,1147,36,12,10,0,8,2213
Dighton,-,2,1139,1326,26,13,15,0,11,2530
Douglas,-,1,816,1051,31,11,0,0,15,1924
Douglas,-,2,839,982,37,9,0,0,17,1884
Douglas,-,3,803,923,23,9,0,0,21,1779
Dover,-,1,2761,1142,67,14,39,0,41,4064
Dracut,-,1,893,820,26,11,0,0,15,1765
Dracut,-,2,799,743,23,7,0,0,19,1591
Dracut,-,3,942,947,28,2,0,0,19,1938
Dracut,-,4,1124,1210,33,8,0,0,52,2427
Dracut,-,5,894,1010,34,10,0,0,8,1956
Dracut,-,6,923,869,25,8,0,0,6,1831
Dracut,-,6A,39,33,0,0,0,0,0,72
Dracut,-,7,986,811,21,9,0,0,5,1832
Dracut,-,8,1155,1397,39,6,0,0,30,2627
Dracut,-,9,951,972,24,13,0,0,28,1988
Dudley,-,1,1071,1203,46,10,10,0,12,2352
Dudley,-,2,906,1068,36,8,10,0,6,2034
Dudley,-,3,767,921,21,9,6,0,5,1729
Dunstable,-,1,1243,877,46,7,0,0,30,2203
Duxbury,-,1,1326,753,29,4,13,0,18,2143
Duxbury,-,2,1217,680,27,2,21,0,18,1965
Duxbury,-,3,1168,659,33,4,9,0,9,1882
Duxbury,-,4,1122,625,25,7,15,0,8,1802
Duxbury,-,5,1054,714,23,3,12,0,13,1819
Duxbury,-,6,1023,601,29,4,17,0,14,1688
E. Bridgewater,-,1,1034,1098,36,9,11,0,14,2202
E. Bridgewater,-,2,1008,1088,36,12,11,0,13,2168
E. Bridgewater,-,3,1111,1159,26,11,6,0,12,2325
E. Bridgewater,-,4,1030,1021,42,11,7,0,15,2126
E. Brookfield,-,1,593,741,18,7,6,0,5,1370
E. Longmeadow,-,1,1420,1122,26,9,15,0,8,2600
E. Longmeadow,-,2,1274,1025,26,13,6,0,10,2354
E. Longmeadow,-,3,1330,1180,30,11,10,0,15,2576
E. Longmeadow,-,4,1271,1296,37,9,12,0,16,2641
Eastham,-,1,2864,1151,48,16,21,0,17,4117
Easthampton,-,1,1430,485,20,15,5,0,11,1966
Easthampton,-,2,1685,412,31,24,12,0,11,2175
Easthampton,-,3,1517,432,24,19,3,0,14,2009
Easthampton,-,4,1810,400,24,29,8,0,12,2283
Easthampton,-,5,1354,796,33,21,3,0,8,2215
Easton,-,1,836,512,16,7,4,0,6,1381
Easton,-,2,1651,996,49,16,9,0,16,2737
Easton,-,3,1400,925,31,16,11,0,13,2396
Easton,-,4,1578,925,37,18,15,0,18,2591
Easton,-,5,1810,1052,38,6,9,0,16,2931
Easton,-,6,1440,1057,27,14,14,0,17,2569
Edgartown,-,1,2185,854,39,15,8,0,25,3126
Egremont,-,1,783,174,8,7,1,0,3,976
Erving,-,1,550,355,15,4,5,0,7,936
Essex,-,1,1650,796,45,8,13,0,16,2528
Everett,1,1,808,318,2,3,3,0,2,1136
Everett,1,2,714,332,6,8,5,0,5,1070
Everett,2,1,886,360,13,8,2,0,2,1271
Everett,2,2,745,272,3,7,6,0,4,1037
Everett,3,1,1008,391,12,7,9,0,1,1428
Everett,3,2,872,345,7,6,2,0,6,1238
Everett,4,1,916,415,7,7,7,0,6,1358
Everett,4,2,797,298,11,4,3,0,10,1123
Everett,5,1,905,338,6,3,7,0,11,1270
Everett,5,2,851,277,3,6,2,0,10,1149
Everett,6,1,969,382,27,7,1,0,8,1394
Everett,6,2,1021,365,11,6,5,0,11,1419
Fairhaven,-,1,1000,601,19,9,6,0,15,1650
Fairhaven,-,2,913,688,20,6,4,0,17,1648
Fairhaven,-,3,640,638,14,13,3,0,7,1315
Fairhaven,-,4,875,713,26,8,1,0,14,1637
Fairhaven,-,5,874,839,13,5,9,0,12,1752
Fairhaven,-,6,791,796,22,4,7,0,7,1627
Fall River,1,A,765,763,20,7,2,0,42,1599
Fall River,1,B,600,518,21,6,0,0,1,1146
Fall River,1,C,637,613,21,2,3,0,13,1289
Fall River,2,A,518,388,16,4,2,0,4,932
Fall River,2,B,442,395,11,5,2,0,8,863
Fall River,2,C,522,455,17,6,0,0,9,1009
Fall River,3,A,370,541,16,9,1,0,282,1219
Fall River,3,B,656,525,6,8,0,0,11,1206
Fall River,3,C,713,619,16,3,3,0,15,1369
Fall River,4,A,535,348,9,5,0,0,9,906
Fall River,4,B,522,319,9,2,2,0,9,863
Fall River,4,C,562,313,13,9,2,0,11,910
Fall River,5,A,396,285,10,7,1,0,5,704
Fall River,5,B,345,197,8,9,2,0,6,567
Fall River,5,B1,67,55,2,0,0,0,1,125
Fall River,5,C,482,341,8,2,1,0,8,842
Fall River,6,A,685,691,15,9,1,0,15,1416
Fall River,6,B,531,394,11,3,2,0,3,944
Fall River,6,C,652,502,9,6,2,0,14,1185
Fall River,6,C1,18,11,1,0,0,0,1,31
Fall River,7,A,696,515,17,4,5,0,8,1245
Fall River,7,B,598,367,17,1,6,0,8,997
Fall River,7,C,748,450,13,6,0,0,13,1230
Fall River,8,A,636,444,9,2,0,0,19,1110
Fall River,8,B,914,645,13,7,1,0,15,1595
Fall River,8,C,948,779,20,12,5,0,14,1778
Fall River,9,A,1158,918,18,4,4,0,6,2108
Fall River,9,B,757,567,16,9,4,0,11,1364
Fall River,9,C,986,613,17,9,0,0,23,1648
Falmouth,-,1,2096,522,23,10,17,0,21,2689
Falmouth,-,2,1648,684,24,8,11,0,17,2392
Falmouth,-,3,1460,824,22,10,7,0,18,2341
Falmouth,-,4,1483,961,31,13,16,0,19,2523
Falmouth,-,5,1752,852,40,13,8,0,20,2685
Falmouth,-,6,1653,808,24,6,14,0,20,2525
Falmouth,-,7,1368,922,21,11,8,0,19,2349
Falmouth,-,8,1346,930,38,13,14,0,16,2357
Falmouth,-,9,1328,816,22,12,1,0,14,2193
Fitchburg,1,A,703,384,17,5,4,0,4,1117
Fitchburg,1,B,845,450,22,9,3,0,6,1335
Fitchburg,2,A,693,338,16,10,1,0,7,1065
Fitchburg,2,B,869,636,25,11,4,0,4,1549
Fitchburg,3,A,1147,855,32,10,7,0,16,2067
Fitchburg,3,B,952,629,42,14,2,0,9,1648
Fitchburg,4,A,405,272,11,3,0,0,3,694
Fitchburg,4,B,782,351,20,4,5,0,6,1168
Fitchburg,5,A,1106,883,33,12,6,0,30,2070
Fitchburg,5,B,570,285,18,9,2,0,7,891
Fitchburg,6,A,1044,725,20,7,5,0,8,1809
Fitchburg,6,B,781,378,21,10,6,0,5,1201
Florida,-,1,209,203,6,0,0,0,2,420
Foxborough,-,1,1213,738,41,10,2,0,13,2017
Foxborough,-,2,1415,909,27,10,10,0,11,2382
Foxborough,-,3,1350,936,38,8,6,0,11,2349
Foxborough,-,4,1410,918,24,8,13,0,21,2394
Foxborough,-,5,1352,856,33,7,12,0,23,2283
Framingham,-,1,1793,668,26,10,12,0,10,2519
Framingham,-,2,2170,720,55,12,16,0,11,2984
Framingham,-,3,1588,503,29,7,14,0,10,2151
Framingham,-,4,1882,572,26,9,11,0,10,2510
Framingham,-,5,1684,623,28,17,11,0,16,2379
Framingham,-,6,1656,614,36,8,19,0,19,2352
Framingham,-,7,1619,525,25,10,15,0,12,2206
Framingham,-,8,1594,471,22,10,6,0,13,2116
Framingham,-,9,1153,385,19,8,10,0,10,1585
Framingham,-,10,999,270,16,6,4,0,3,1298
Framingham,-,11,1859,608,34,14,15,0,22,2552
Framingham,-,12,849,279,9,3,13,0,8,1161
Framingham,-,13,1131,368,17,11,3,0,9,1539
Framingham,-,14,857,240,16,10,9,0,13,1145
Framingham,-,15,918,292,9,8,6,0,6,1239
Framingham,-,16,517,171,6,1,3,0,1,699
Framingham,-,17,567,131,3,3,3,0,5,712
Framingham,-,18,786,272,15,3,3,0,9,1088
Franklin,-,1,1372,824,31,10,17,0,17,2271
Franklin,-,2,1571,919,42,17,20,0,20,2589
Franklin,-,3,1451,926,46,15,11,0,14,2463
Franklin,-,4,1660,1062,56,9,2,0,42,2831
Franklin,-,5,1792,960,39,16,16,0,20,2843
Franklin,-,6,1416,717,38,15,4,0,25,2215
Franklin,-,7,1727,881,48,7,9,0,23,2695
Franklin,-,8,1486,1056,38,12,8,0,45,2645
Freetown,-,1,841,943,25,9,11,0,5,1834
Freetown,-,2,825,992,16,8,3,0,12,1856
Freetown,-,3,817,971,29,9,7,0,10,1843
Gardner,1,A,679,454,22,5,4,0,14,1178
Gardner,1,B,233,249,7,0,1,0,5,495
Gardner,2,A,572,426,22,7,1,0,11,1039
Gardner,2,B,610,549,29,9,2,0,6,1205
Gardner,3,A,476,363,20,9,1,0,3,872
Gardner,3,B,606,416,23,2,2,0,8,1057
Gardner,4,A,581,341,23,9,3,0,8,965
Gardner,4,B,369,298,24,7,1,0,4,703
Gardner,5,A,480,350,20,6,0,0,2,858
Gardner,5,B,607,493,21,6,6,0,12,1145
Georgetown,-,1,1100,948,26,10,12,0,12,2108
Georgetown,-,2,983,760,30,5,13,0,7,1798
Georgetown,-,3,968,680,28,7,15,0,11,1709
Gill,-,1,679,279,18,5,6,0,2,989
Gloucester,1,1,1453,556,18,5,21,0,18,2071
Gloucester,1,2,1187,536,24,10,6,0,6,1769
Gloucester,2,1,939,456,30,11,8,0,12,1456
Gloucester,2,2,903,410,12,9,7,0,9,1350
Gloucester,3,1,1007,500,12,7,10,0,19,1555
Gloucester,3,2,1021,526,14,6,11,0,13,1591
Gloucester,4,1,1156,649,20,13,9,0,23,1870
Gloucester,4,2,1645,513,32,12,11,0,14,2227
Gloucester,5,1,1456,688,21,7,21,0,22,2215
Gloucester,5,2,1371,761,34,8,17,0,18,2209
Goshen,-,1,418,231,15,5,3,0,1,673
Gosnold,-,1,56,22,2,1,1,0,0,82
Grafton,-,1,1340,791,50,21,14,0,10,2226
Grafton,-,2,1463,809,26,15,11,0,17,2341
Grafton,-,3,1509,819,37,12,8,0,16,2401
Grafton,-,4,1269,797,25,13,6,0,22,2132
Grafton,-,5,1558,795,37,10,18,0,13,2431
Granby,-,1,1149,859,32,12,5,0,10,2067
Granby,-,2,906,956,24,10,3,0,11,1910
Granville,-,1,402,565,20,3,0,0,12,1002
Great Barrington,-,A,900,172,14,7,1,0,2,1096
Great Barrington,-,B,861,203,14,9,5,0,3,1095
Great Barrington,-,C,702,91,7,6,6,0,1,813
Great Barrington,-,D,905,188,9,6,6,0,9,1123
Greenfield,-,1,728,322,23,4,7,0,6,1090
Greenfield,-,2,896,327,18,10,3,0,41,1295
Greenfield,-,3,801,293,8,10,2,0,21,1135
Greenfield,-,4,870,296,16,7,2,0,18,1209
Greenfield,-,5,841,195,13,9,7,0,33,1098
Greenfield,-,6,879,186,20,15,8,0,95,1203
Greenfield,-,7,615,236,8,12,5,0,30,906
Greenfield,-,8,701,185,14,11,5,0,35,951
Greenfield,-,9,552,225,16,5,3,0,19,820
Groton,-,1,1735,709,44,8,14,0,24,2534
Groton,-,2,1561,788,44,17,12,0,26,2448
Groton,-,3,1645,652,37,4,15,0,21,2374
Groveland,-,1,1230,954,48,11,8,0,12,2263
Groveland,-,2,1191,1022,44,11,17,0,18,2303
Hadley,-,1,2476,925,49,27,16,0,22,3515
Halifax,-,1,1166,1305,41,14,9,0,11,2546
Halifax,-,2,1188,1093,34,16,8,0,8,2347
Hamilton,-,1,1228,578,33,6,14,0,18,1877
Hamilton,-,2,1198,544,40,7,13,0,10,1812
Hamilton,-,3,938,336,32,5,16,0,12,1339
Hampden,-,1,1539,1713,58,16,13,0,36,3375
Hancock,-,1,257,207,9,3,2,0,4,482
Hanover,-,1,1220,1185,54,13,18,0,18,2508
Hanover,-,2,1267,1154,33,6,15,0,15,2490
Hanover,-,3,1203,1038,28,4,10,0,16,2299
Hanover,-,4,1220,1130,38,5,11,0,18,2422
Hanson,-,1,1098,1123,42,11,7,0,19,2300
Hanson,-,2,1125,1095,43,16,12,0,21,2312
Hanson,-,3,1021,1096,40,7,5,0,18,2187
Hardwick,-,1,749,733,32,7,8,0,5,1534
Harvard,-,1,3074,954,71,18,12,0,28,4157
Harwich,-,1,1540,866,28,13,18,0,17,2482
Harwich,-,2,1461,860,34,8,11,0,29,2403
Harwich,-,3,1476,864,40,17,10,0,16,2423
Harwich,-,4,1356,775,47,9,15,0,7,2209
Hatfield,-,1,1578,686,23,15,11,0,10,2323
Haverhill,1,1,619,343,12,7,3,0,5,989
Haverhill,1,2,1043,446,16,10,4,0,15,1534
Haverhill,1,3,828,472,20,8,4,0,8,1340
Haverhill,2,1,834,479,25,9,13,0,8,1368
Haverhill,2,2,877,662,18,11,7,0,11,1586
Haverhill,2,3,611,291,16,7,5,0,2,932
Haverhill,3,1,626,225,16,10,5,0,6,888
Haverhill,3,2,795,354,15,11,4,0,10,1189
Haverhill,3,3,798,411,9,10,6,0,6,1240
Haverhill,4,1,956,696,30,6,14,0,9,1711
Haverhill,4,2,1016,877,19,9,11,0,12,1944
Haverhill,4,3,1016,728,32,9,8,0,13,1806
Haverhill,5,1,1009,676,21,8,4,0,6,1724
Haverhill,5,2,994,823,20,10,11,0,5,1863
Haverhill,5,3,987,1024,21,11,10,0,7,2060
Haverhill,6,1,908,633,28,7,7,0,5,1588
Haverhill,6,2,915,646,24,13,6,0,9,1613
Haverhill,6,3,1067,715,17,9,14,0,14,1836
Haverhill,7,1,1116,628,34,9,7,0,8,1802
Haverhill,7,2,906,608,15,9,8,0,6,1552
Haverhill,7,3,1099,834,36,14,18,0,6,2007
Hawley,-,1,155,70,3,3,0,0,0,231
Heath,-,1,294,158,8,6,2,0,2,470
Hingham,-,1,1875,794,32,6,26,0,23,2756
Hingham,-,2,1900,845,40,10,17,0,30,2842
Hingham,-,3,1873,811,35,8,28,0,27,2782
Hingham,-,4,1683,734,36,4,30,0,24,2511
Hingham,-,5,1090,716,28,4,17,0,21,1876
Hingham,-,5A,861,256,4,4,1,0,13,1139
Hingham,-,6,1573,830,33,7,18,0,19,2480
Hinsdale,-,1,771,402,18,15,4,0,6,1216
Holbrook,-,1,989,531,9,8,7,0,15,1559
Holbrook,-,2,894,686,30,6,8,0,7,1631
Holbrook,-,3,928,592,17,11,2,0,10,1560
Holbrook,-,4,899,572,15,6,3,0,13,1508
Holden,-,1,1362,1004,46,14,20,0,19,2465
Holden,-,2,1473,1017,32,18,12,0,15,2567
Holden,-,3,1351,835,40,18,11,0,16,2271
Holden,-,4,1665,1095,41,9,16,0,17,2843
Holden,-,5,1474,1045,41,6,9,0,15,2590
Holland,-,1,698,793,38,7,9,0,13,1558
Holliston,-,1,1765,740,44,11,20,0,14,2594
Holliston,-,2,1739,608,39,12,16,0,19,2433
Holliston,-,3,1761,612,42,9,10,0,12,2446
Holliston,-,4,1506,619,36,13,15,0,5,2194
Holyoke,1,A,448,190,2,2,0,0,9,651
Holyoke,1,B,583,193,8,8,0,0,11,803
Holyoke,2,A,547,211,4,6,0,0,7,775
Holyoke,2,B,493,188,5,7,0,0,6,699
Holyoke,3,A,857,334,17,15,1,0,16,1240
Holyoke,3,B,948,489,15,15,2,0,14,1483
Holyoke,4,A,481,159,7,6,1,0,6,660
Holyoke,4,B,754,247,11,11,1,0,18,1042
Holyoke,5,A,1120,783,26,10,4,0,8,1951
Holyoke,5,B,807,485,10,8,4,0,12,1326
Holyoke,6,A,786,268,17,9,3,0,11,1094
Holyoke,6,B,949,373,14,10,2,0,23,1371
Holyoke,7,A,1235,559,15,8,2,0,16,1835
Holyoke,7,B,1144,364,18,13,1,0,13,1553
Hopedale,-,1,2285,1385,62,22,21,0,26,3801
Hopkinton,-,1,2032,774,35,18,24,0,17,2900
Hopkinton,-,2,1729,775,32,8,18,0,14,2576
Hopkinton,-,3,1586,745,32,9,16,0,13,2401
Hopkinton,-,4,1700,687,44,8,24,0,14,2477
Hubbardston,-,1,1390,1442,63,21,11,0,16,2943
Hudson,-,1,1130,570,26,10,10,0,11,1757
Hudson,-,2,931,447,31,11,8,0,8,1436
Hudson,-,3,1021,707,32,8,6,0,13,1787
Hudson,-,4,1144,612,40,12,5,0,9,1822
Hudson,-,5,1429,637,32,12,5,0,16,2131
Hudson,-,6,848,454,12,12,7,0,8,1341
Hudson,-,7,911,425,23,6,9,0,5,1379
Hull,-,1,1617,713,26,8,9,0,16,2389
Hull,-,2,1306,811,24,12,8,0,19,2180
Hull,-,3,1584,909,27,13,13,0,20,2566
Huntington,-,1,585,593,24,13,2,0,6,1223
Ipswich,-,1,1645,607,27,13,8,0,21,2321
Ipswich,-,2,1690,790,39,11,6,0,42,2578
Ipswich,-,3,1369,891,43,11,13,0,25,2352
Ipswich,-,4,1569,821,40,8,13,0,26,2477
Kingston,-,1,1142,809,29,9,5,0,16,2010
Kingston,-,2,1174,1083,39,5,8,0,11,2320
Kingston,-,3,1193,1063,58,8,9,0,11,2342
Kingston,-,4,1013,820,38,9,6,0,11,1897
Lakeville,-,1,1019,1204,36,10,6,0,18,2293
Lakeville,-,2,1018,1255,58,14,10,0,14,2369
Lakeville,-,3,1299,1319,46,14,15,0,22,2715
Lancaster,-,1,1154,865,46,13,12,0,12,2102
Lancaster,-,2,1304,897,42,8,13,0,18,2282
Lanesborough,-,1,1237,604,31,9,10,0,5,1896
Lawrence,A,1,746,261,12,1,1,0,8,1029
Lawrence,A,2,571,163,5,6,1,0,5,751
Lawrence,A,3,667,297,12,6,0,0,8,990
Lawrence,A,4,804,253,8,2,6,0,2,1075
Lawrence,B,1,748,176,9,4,6,0,1,944
Lawrence,B,2,543,126,14,2,0,0,3,688
Lawrence,B,3,647,177,8,2,2,0,6,842
Lawrence,B,4,683,195,10,6,1,0,9,904
Lawrence,C,1,586,183,8,1,2,0,4,784
Lawrence,C,2,863,307,15,4,6,0,9,1204
Lawrence,C,3,603,158,6,3,3,0,3,776
Lawrence,C,4,689,187,8,3,2,0,10,899
Lawrence,D,1,755,258,6,4,1,0,7,1031
Lawrence,D,2,593,161,6,2,0,0,7,769
Lawrence,D,3,492,151,1,2,0,0,13,659
Lawrence,D,4,627,180,7,2,1,0,4,821
Lawrence,E,1,937,523,10,5,6,0,12,1493
Lawrence,E,2,958,479,17,6,7,0,14,1481
Lawrence,E,3,629,287,8,4,4,0,3,935
Lawrence,E,4,742,275,6,5,2,0,4,1034
Lawrence,F,1,939,390,23,11,8,0,6,1377
Lawrence,F,2,651,144,4,6,0,0,7,812
Lawrence,F,3,825,232,7,8,2,0,10,1084
Lawrence,F,4,725,240,11,3,2,0,4,985
Lee,-,1,2415,985,51,23,15,0,17,3506
Leicester,-,1,767,856,36,5,9,0,11,1684
Leicester,-,2,794,752,18,13,8,0,8,1593
Leicester,-,3,750,795,21,11,5,0,12,1594
Leicester,-,4,790,743,28,10,4,0,7,1582
Lenox,-,1,2701,602,30,17,18,0,14,3382
Leominster,1,A,982,712,33,10,2,0,14,1753
Leominster,1,B,980,613,36,11,5,0,14,1659
Leominster,1,C,801,493,23,12,5,0,9,1343
Leominster,2,A,680,376,23,11,3,0,6,1099
Leominster,2,B,742,559,23,16,4,0,12,1356
Leominster,2,C,458,355,12,7,1,0,2,835
Leominster,3,A,653,444,21,3,1,0,8,1130
Leominster,3,B,1064,672,20,8,9,0,12,1785
Leominster,3,C,1034,836,31,5,8,0,11,1925
Leominster,4,A,931,775,27,4,8,0,10,1755
Leominster,4,B,896,742,39,15,8,0,16,1716
Leominster,4,C,746,493,25,7,5,0,8,1284
Leominster,5,A,772,515,21,14,2,0,8,1332
Leominster,5,B,927,597,22,11,9,0,9,1575
Leominster,5,C,678,410,14,11,4,0,10,1127
Leverett,-,1,1193,163,12,12,6,0,4,1390
Lexington,-,1,1568,340,20,7,3,0,19,1957
Lexington,-,2,2021,307,24,18,12,0,15,2397
Lexington,-,3,1666,304,18,3,13,0,10,2014
Lexington,-,4,1895,355,26,7,12,0,10,2305
Lexington,-,5,1911,471,17,9,21,0,12,2441
Lexington,-,6,1852,376,22,6,15,0,12,2283
Lexington,-,7,1792,440,21,11,12,0,14,2290
Lexington,-,8,1754,365,22,15,8,0,11,2175
